"n_recruit","emmean","lower.HPD","upper.HPD"
1,2.30450484879275,-0.145898577228195,4.79336462242222
1.26262626262626,2.8763210543618,0.368317115442314,5.22231090059339
1.52525252525253,3.45259378090489,0.979010871695731,5.76715289390588
1.78787878787879,4.03055146423466,1.48936110589416,6.20629225061449
2.05050505050505,4.59622755859764,2.16063185883739,6.81335938204779
2.31313131313131,5.15930620833342,2.71644497877594,7.32814912236462
2.57575757575758,5.72834775965486,3.37554543110191,7.94609026035992
2.83838383838384,6.30365255464815,3.9184469048972,8.46167229711557
3.1010101010101,6.88285514329405,4.63765972339924,9.12314490061223
3.36363636363636,7.45926444965247,5.21933806771675,9.64388958593337
3.62626262626263,8.01871851952786,5.59741117495332,10.023281090929
3.88888888888889,8.58843493517282,6.22171607833296,10.6209383304335
4.15151515151515,9.15485469902251,6.94449485365903,11.3138782470294
4.41414141414141,9.72667125892388,7.44172752311112,11.8006641739311
4.67676767676768,10.3016045099765,7.98442983493158,12.2720883529278
4.93939393939394,10.8767761288658,8.5548143217085,12.8336839170592
5.2020202020202,11.4510155854661,9.05824479542652,13.389580809362
5.46464646464647,12.0224046205282,9.72040840778203,14.0531689062967
5.72727272727273,12.5907886495273,10.1070689433102,14.4510290755463
5.98989898989899,13.1638775343583,10.7379686564394,15.0837165305674
6.25252525252525,13.7406827887096,11.2823515976293,15.6251285597105
6.51515151515152,14.3132863112456,11.8773083281535,16.2543016951941
6.77777777777778,14.8895777075447,12.366894542156,16.7793185654542
7.04040404040404,15.4642415358374,12.9407255118023,17.3916757709291
7.3030303030303,16.0327854535449,13.6621989077721,18.1655995747762
7.56565656565657,16.6010338100361,14.1997216885691,18.7343207996577
7.82828282828283,17.1768925639031,14.6995221359836,19.2903401023555
8.09090909090909,17.7475044980574,15.2253657570796,19.9078842543921
8.35353535353535,18.3177709887555,15.9062595812655,20.6630622543359
8.61616161616162,18.8841392934903,16.3415853636583,21.1722988313086
8.87878787878788,19.4534807842188,16.9270256644687,21.8480536246345
9.14141414141414,20.0285828185989,17.4168320755739,22.4182746425307
9.4040404040404,20.595474661614,17.8859348943039,22.9899800766943
9.66666666666667,21.1775720894076,18.3034184745971,23.5026790485822
9.92929292929293,21.7469336928283,18.8014711706132,24.1026878957346
10.1919191919192,22.3184300216717,19.3084817564252,24.7140450956505
10.4545454545455,22.8883777822628,19.9585509782739,25.4559579469416
10.7171717171717,23.4647919285324,20.4931246883322,26.1065795635636
10.979797979798,24.0237899135307,21.1645442051941,26.8858321099897
11.2424242424242,24.5995437468041,21.5023600541682,27.3384373460801
11.5050505050505,25.1658522094273,21.9311155731468,27.8693866748048
11.7676767676768,25.7294857433777,22.4810173520833,28.5075480001065
12.030303030303,26.3019331933711,23.0050501260989,29.1214377920246
12.2929292929293,26.8721958598225,23.5717072383547,29.8257967490665
12.5555555555556,27.4455856825666,24.0130154373154,30.4213595187551
12.8181818181818,28.0089569823708,24.4293180795534,30.9575221832813
13.0808080808081,28.5745565809209,24.9769475165254,31.5945598706638
13.3434343434343,29.1401708024629,25.4507025869492,32.1878517052302
13.6060606060606,29.7031908529281,25.9550149919392,32.8518601640464
13.8686868686869,30.2722883771112,26.5236708204625,33.5513640343349
14.1313131313131,30.8432982801517,27.0258018970919,34.1798770816786
14.3939393939394,31.4138988135245,27.4973021870446,34.7599449693236
14.6565656565657,31.9843772869655,28.0286054015416,35.405720897316
14.9191919191919,32.5492832506042,28.5657447504592,36.049177185426
15.1818181818182,33.1199220609341,28.9853941987611,36.5969619066778
15.4444444444444,33.692961246301,29.4536870343677,37.1802904696684
15.7070707070707,34.2663021586147,29.939072209776,37.7718136604525
15.969696969697,34.8390215969944,30.5265896396947,38.4966917190179
16.2323232323232,35.403433697094,31.0428505101273,39.129934989798
16.4949494949495,35.9674704201751,31.5843029663003,39.7836246005721
16.7575757575758,36.5397871079465,32.0414377829109,40.3742546110976
17.020202020202,37.1048488589684,32.6069809857787,41.0877617468126
17.2828282828283,37.6734949579789,33.1112770699296,41.7235106904832
17.5454545454545,38.2495680574043,33.4948898166675,42.227694188739
17.8080808080808,38.8223066337001,34.0091654342465,42.8441055686392
18.0707070707071,39.3940821319383,34.5067709809686,43.4679431014697
18.3333333333333,39.9662146535314,35.0347120881112,44.1438696476752
18.5959595959596,40.5338217844924,35.5097266126303,44.7950116338422
18.8585858585859,41.1090563859145,36.1318344209448,45.5722074096832
19.1212121212121,41.6777740756189,36.6413496589855,46.2331596253626
19.3838383838384,42.2524131376153,37.0684234296804,46.8095022398483
19.6464646464646,42.8203940008597,37.5705545063098,47.4516781359221
19.9090909090909,43.3910492546809,38.0584119043944,48.117491648448
20.1717171717172,43.9605669389813,38.7947243896171,49.0055915111014
20.4343434343434,44.5407218124195,39.3049387694443,49.635425494585
20.6969696969697,45.116302334714,39.8068379988856,50.2652594780687
20.959595959596,45.6867160518893,40.3087372283268,50.8955826115045
21.2222222222222,46.2482720682712,40.8106364577681,51.5287464064531
21.4848484848485,46.8143592231165,41.3032306707553,52.1619102014017
21.7474747474748,47.3846756104675,41.8004135918467,52.8044679233212
22.010101010101,47.9533566985747,42.278653196304,53.4593710547443
22.2727272727273,48.5276106140767,42.5734754212631,53.9041692325472
22.5353535353535,49.0980870325602,43.0660233356928,54.5562441450869
22.7979797979798,49.6648492026705,43.677153258534,55.3039313459381
23.0606060606061,50.2378411729,44.1503013729267,55.9355477898972
23.3232323232323,50.8088139427444,44.6658467442407,56.5940567660418
23.5858585858586,51.3783737698757,45.1734544857351,57.259912003912
